STATION,NAME,MONTH,DAY,YEAR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",7,7,1950,0.16,0,0,NaN,97,75
USW00023183,"PHOENIX AIRPORT, AZ US",7,8,1950,0.04,0,0,NaN,96,75
USW00023183,"PHOENIX AIRPORT, AZ US",7,9,1950,0,0,0,NaN,99,74
USW00023183,"PHOENIX AIRPORT, AZ US",7,10,1950,0,0,0,NaN,102,75
USW00023183,"PHOENIX AIRPORT, AZ US",7,11,1950,0,0,0,NaN,106,74
USW00023183,"PHOENIX AIRPORT, AZ US",7,12,1950,0,0,0,NaN,110,68
USW00023183,"PHOENIX AIRPORT, AZ US",7,13,1950,0,0,0,NaN,112,75
USW00023183,"PHOENIX AIRPORT, AZ US",7,14,1950,0,0,0,NaN,111,81
USW00023183,"PHOENIX AIRPORT, AZ US",7,15,1950,0,0,0,NaN,110,80
USW00023183,"PHOENIX AIRPORT, AZ US",7,16,1950,0,0,0,NaN,109,84
USW00023183,"PHOENIX AIRPORT, AZ US",7,17,1950,0,0,0,NaN,105,82
USW00023183,"PHOENIX AIRPORT, AZ US",7,18,1950,0,0,0,NaN,98,80
USW00023183,"PHOENIX AIRPORT, AZ US",7,19,1950,0,0,0,NaN,103,80
USW00023183,"PHOENIX AIRPORT, AZ US",7,20,1950,0,0,0,NaN,107,82
USW00023183,"PHOENIX AIRPORT, AZ US",7,21,1950,0.01,0,0,NaN,104,80
USW00023183,"PHOENIX AIRPORT, AZ US",7,22,1950,0,0,0,NaN,100,77
USW00023183,"PHOENIX AIRPORT, AZ US",7,23,1950,0,0,0,NaN,100,76
USW00023183,"PHOENIX AIRPORT, AZ US",7,24,1950,0.05,0,0,NaN,100,74
USW00023183,"PHOENIX AIRPORT, AZ US",7,25,1950,0.35,0,0,NaN,105,78
USW00023183,"PHOENIX AIRPORT, AZ US",7,26,1950,0,0,0,NaN,106,78
USW00023183,"PHOENIX AIRPORT, AZ US",7,27,1950,0,0,0,NaN,108,76
USW00023183,"PHOENIX AIRPORT, AZ US",7,28,1950,0,0,0,NaN,104,80
USW00023183,"PHOENIX AIRPORT, AZ US",7,29,1950,0,0,0,NaN,103,78
USW00023183,"PHOENIX AIRPORT, AZ US",7,30,1950,0,0,0,NaN,95,75
USW00023183,"PHOENIX AIRPORT, AZ US",7,31,1950,0.09,0,0,NaN,81,68
USW00023183,"PHOENIX AIRPORT, AZ US",8,1,1950,0,0,0,NaN,100,66
USW00023183,"PHOENIX AIRPORT, AZ US",8,2,1950,0,0,0,NaN,106,71
USW00023183,"PHOENIX AIRPORT, AZ US",8,3,1950,0,0,0,NaN,108,71
USW00023183,"PHOENIX AIRPORT, AZ US",8,4,1950,0,0,0,NaN,103,77
USW00023183,"PHOENIX AIRPORT, AZ US",8,5,1950,0.21,0,0,NaN,96,73
USW00023183,"PHOENIX AIRPORT, AZ US",8,6,1950,0,0,0,NaN,104,74
USW00023183,"PHOENIX AIRPORT, AZ US",8,7,1950,0,0,0,NaN,107,75
USW00023183,"PHOENIX AIRPORT, AZ US",8,8,1950,0,0,0,NaN,110,70
USW00023183,"PHOENIX AIRPORT, AZ US",8,9,1950,0,0,0,NaN,112,71
USW00023183,"PHOENIX AIRPORT, AZ US",8,10,1950,0,0,0,NaN,108,76
USW00023183,"PHOENIX AIRPORT, AZ US",8,11,1950,0.16,0,0,NaN,102,75
USW00023183,"PHOENIX AIRPORT, AZ US",8,12,1950,0,0,0,NaN,101,72
USW00023183,"PHOENIX AIRPORT, AZ US",8,13,1950,0,0,0,NaN,105,70
USW00023183,"PHOENIX AIRPORT, AZ US",8,14,1950,0,0,0,NaN,107,69
USW00023183,"PHOENIX AIRPORT, AZ US",8,15,1950,0,0,0,NaN,109,70
USW00023183,"PHOENIX AIRPORT, AZ US",8,16,1950,0,0,0,NaN,111,72
USW00023183,"PHOENIX AIRPORT, AZ US",8,17,1950,0,0,0,NaN,113,71
USW00023183,"PHOENIX AIRPORT, AZ US",8,18,1950,0,0,0,NaN,110,77
USW00023183,"PHOENIX AIRPORT, AZ US",8,19,1950,0,0,0,NaN,110,75
USW00023183,"PHOENIX AIRPORT, AZ US",8,20,1950,0,0,0,NaN,110,73
USW00023183,"PHOENIX AIRPORT, AZ US",8,21,1950,0,0,0,NaN,109,78
USW00023183,"PHOENIX AIRPORT, AZ US",8,22,1950,0,0,0,NaN,106,76
USW00023183,"PHOENIX AIRPORT, AZ US",8,23,1950,0,0,0,NaN,106,75
USW00023183,"PHOENIX AIRPORT, AZ US",8,24,1950,0,0,0,NaN,103,81
USW00023183,"PHOENIX AIRPORT, AZ US",8,25,1950,0,0,0,NaN,107,70
USW00023183,"PHOENIX AIRPORT, AZ US",8,26,1950,0,0,0,NaN,108,75
USW00023183,"PHOENIX AIRPORT, AZ US",8,27,1950,0,0,0,NaN,108,73
USW00023183,"PHOENIX AIRPORT, AZ US",8,28,1950,0,0,0,NaN,110,73
USW00023183,"PHOENIX AIRPORT, AZ US",8,29,1950,0,0,0,NaN,112,73
