STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,,
USC00142835,"FORT SCOTT, KS US",6/17/2007,0,0,89,66,,
USC00142835,"FORT SCOTT, KS US",6/18/2007,0,0,86,69,,
USC00142835,"FORT SCOTT, KS US",6/19/2007,0.92,0,84,65,,
USC00142835,"FORT SCOTT, KS US",6/20/2007,0,0,87,62,,
USC00142835,"FORT SCOTT, KS US",6/21/2007,0,0,86,68,,
USC00142835,"FORT SCOTT, KS US",6/22/2007,0,0,88,67,,
USC00142835,"FORT SCOTT, KS US",6/23/2007,0.01,0,88,69,,
USC00142835,"FORT SCOTT, KS US",6/24/2007,0,0,87,69,,
USC00142835,"FORT SCOTT, KS US",6/25/2007,0.07,0,90,70,,
USC00142835,"FORT SCOTT, KS US",6/26/2007,0,0,89,71,,
USC00142835,"FORT SCOTT, KS US",6/27/2007,0.55,0,84,70,,
USC00142835,"FORT SCOTT, KS US",6/28/2007,1.19,0,80,70,,
USC00142835,"FORT SCOTT, KS US",6/29/2007,4.49,0,75,67,,
USC00142835,"FORT SCOTT, KS US",6/30/2007,1.88,0,78,67,,
USC00142835,"FORT SCOTT, KS US",7/1/2007,4.5,0,75,67,,
USC00142835,"FORT SCOTT, KS US",7/2/2007,0.44,0,77,98,,
USC00142835,"FORT SCOTT, KS US",7/3/2007,0,0,85,69,,
USC00142835,"FORT SCOTT, KS US",7/4/2007,0,0,88,70,,
USC00142835,"FORT SCOTT, KS US",7/5/2007,0,0,89,67,,
USC00142835,"FORT SCOTT, KS US",7/6/2007,0,0,91,59,,
USC00142835,"FORT SCOTT, KS US",7/7/2007,0,0,91,67,,
USC00142835,"FORT SCOTT, KS US",7/8/2007,0,0,90,67,,
USC00142835,"FORT SCOTT, KS US",7/9/2007,0,0,92,70,,
USC00142835,"FORT SCOTT, KS US",7/10/2007,0,0,90,71,,
USC00142835,"FORT SCOTT, KS US",7/11/2007,0,0,88,63,,
USC00142835,"FORT SCOTT, KS US",7/12/2007,0,0,82,67,,
USC00142835,"FORT SCOTT, KS US",7/13/2007,0.04,0,83,66,,
USC00142835,"FORT SCOTT, KS US",7/14/2007,0,0,87,67,,
USC00142835,"FORT SCOTT, KS US",7/15/2007,0,0,91,67,,
USC00142835,"FORT SCOTT, KS US",7/16/2007,0,0,91,68,,
USC00142835,"FORT SCOTT, KS US",7/17/2007,0,0,95,69,,
USC00142835,"FORT SCOTT, KS US",7/18/2007,0,0,94,75,,
USC00142835,"FORT SCOTT, KS US",7/19/2007,0,0,92,74,,
USC00142835,"FORT SCOTT, KS US",7/20/2007,0,0,88,72,,
USC00142835,"FORT SCOTT, KS US",7/21/2007,0,0,90,69,,
USC00142835,"FORT SCOTT, KS US",7/22/2007,0,0,89,69,,
USC00142835,"FORT SCOTT, KS US",7/23/2007,0,0,88,69,,
USC00142835,"FORT SCOTT, KS US",7/24/2007,0.37,0,81,68,,
USC00142835,"FORT SCOTT, KS US",7/25/2007,0,0,88,65,,
USC00142835,"FORT SCOTT, KS US",7/26/2007,0,0,87,67,,
USC00142835,"FORT SCOTT, KS US",7/27/2007,0,0,90,67,,
USC00142835,"FORT SCOTT, KS US",7/28/2007,0,0,91,73,,
USC00142835,"FORT SCOTT, KS US",7/29/2007,0,0,89,71,,
USC00142835,"FORT SCOTT, KS US",7/30/2007,0.19,0,90,72,,
USC00142835,"FORT SCOTT, KS US",7/31/2007,1.21,0,81,68,,
USC00142835,"FORT SCOTT, KS US",8/1/2007,0,0,87,69,,
USC00142835,"FORT SCOTT, KS US",8/2/2007,0,0,91,70,,
USC00142835,"FORT SCOTT, KS US",8/3/2007,0,0,91,70,,
USC00142835,"FORT SCOTT, KS US",8/4/2007,0,0,92,72,,
USC00142835,"FORT SCOTT, KS US",8/5/2007,0,0,92,54,,
USC00142835,"FORT SCOTT, KS US",8/6/2007,0,0,94,76,,
USC00142835,"FORT SCOTT, KS US",8/7/2007,0,0,95,77,,
USC00142835,"FORT SCOTT, KS US",8/8/2007,0,0,96,77,,
USC00142835,"FORT SCOTT, KS US",8/9/2007,0,0,96,72,,
USC00142835,"FORT SCOTT, KS US",8/10/2007,0,0,95,71,,
USC00142835,"FORT SCOTT, KS US",8/11/2007,0,0,97,72,,
USC00142835,"FORT SCOTT, KS US",8/12/2007,0,0,98,73,,
USC00142835,"FORT SCOTT, KS US",8/13/2007,0,0,100,73,,
USC00142835,"FORT SCOTT, KS US",8/14/2007,0,0,100,76,,
USC00142835,"FORT SCOTT, KS US",8/15/2007,0,0,101,75,,
USC00142835,"FORT SCOTT, KS US",8/16/2007,0,0,101,74,,
USC00142835,"FORT SCOTT, KS US",8/17/2007,0,0,100,75,,
USC00142835,"FORT SCOTT, KS US",8/18/2007,0,0,96,74,,
USC00142835,"FORT SCOTT, KS US",8/19/2007,0,0,88,74,,
USC00142835,"FORT SCOTT, KS US",8/20/2007,0.44,0,85,71,,
USC00142835,"FORT SCOTT, KS US",8/21/2007,0,0,92,74,,
USC00142835,"FORT SCOTT, KS US",8/22/2007,0,0,90,75,,
USC00142835,"FORT SCOTT, KS US",8/23/2007,0,0,94,76,,
USC00142835,"FORT SCOTT, KS US",8/24/2007,0.03,0,91,77,,
USC00142835,"FORT SCOTT, KS US",8/25/2007,0.4,0,88,70,,
USC00142835,"FORT SCOTT, KS US",8/26/2007,0.01,0,86,66,,
USC00142835,"FORT SCOTT, KS US",8/27/2007,0,0,89,66,,
USC00142835,"FORT SCOTT, KS US",8/28/2007,0,0,93,70,,
USC00142835,"FORT SCOTT, KS US",8/29/2007,0,0,95,69,,
USC00142835,"FORT SCOTT, KS US",8/30/2007,0.75,0,92,65,,
USC00142835,"FORT SCOTT, KS US",8/31/2007,0,0,84,62,,
USC00142835,"FORT SCOTT, KS US",9/1/2007,0,0,87,58,,
USC00142835,"FORT SCOTT, KS US",9/2/2007,0,0,87,56,,
USC00142835,"FORT SCOTT, KS US",9/3/2007,0,0,90,56,,
USC00142835,"FORT SCOTT, KS US",9/4/2007,0,0,92,61,,
USC00142835,"FORT SCOTT, KS US",9/5/2007,0.1,0,89,70,,
USC00142835,"FORT SCOTT, KS US",9/6/2007,0,0,77,70,,
USC00142835,"FORT SCOTT, KS US",9/7/2007,0.1,0,89,71,,
USC00142835,"FORT SCOTT, KS US",9/8/2007,,0,87,69,,
USC00142835,"FORT SCOTT, KS US",9/9/2007,0,0,85,65,,
USC00142835,"FORT SCOTT, KS US",9/10/2007,0,0,85,65,,
USC00142835,"FORT SCOTT, KS US",9/11/2007,0.5,0,75,51,,
USC00142835,"FORT SCOTT, KS US",9/12/2007,0,0,79,51,,
USC00142835,"FORT SCOTT, KS US",9/13/2007,0,0,80,54,,
USC00142835,"FORT SCOTT, KS US",9/14/2007,0,0,83,60,,
USC00142835,"FORT SCOTT, KS US",9/15/2007,0,0,69,47,,
USC00142835,"FORT SCOTT, KS US",9/16/2007,0.26,0,56,49,,
USC00142835,"FORT SCOTT, KS US",9/17/2007,1.28,0,83,55,,
USC00142835,"FORT SCOTT, KS US",9/18/2007,0,0,83,65,,
USC00142835,"FORT SCOTT, KS US",9/19/2007,0,0,86,65,,
USC00142835,"FORT SCOTT, KS US",9/20/2007,0,0,87,67,,
USC00142835,"FORT SCOTT, KS US",9/21/2007,0,0,87,66,,
USC00142835,"FORT SCOTT, KS US",9/22/2007,0.01,0,86,65,,
USC00142835,"FORT SCOTT, KS US",9/23/2007,0,0,86,68,,
USC00142835,"FORT SCOTT, KS US",9/24/2007,0,0,89,67,,
USC00142835,"FORT SCOTT, KS US",9/25/2007,0,0,86,72,,
USC00142835,"FORT SCOTT, KS US",9/26/2007,0.31,0,76,58,,
USC00142835,"FORT SCOTT, KS US",9/27/2007,0,0,75,58,,
USC00142835,"FORT SCOTT, KS US",9/28/2007,0,0,83,55,,
USC00142835,"FORT SCOTT, KS US",9/29/2007,0,0,84,55,,
USC00142835,"FORT SCOTT, KS US",9/30/2007,0,0,82,59,,
USC00142835,"FORT SCOTT, KS US",10/1/2007,0,0,83,27,,
USC00142835,"FORT SCOTT, KS US",10/2/2007,0,0,81,53,,
USC00142835,"FORT SCOTT, KS US",10/3/2007,1.37,0,84,54,,
USC00142835,"FORT SCOTT, KS US",10/4/2007,0,0,79,52,,
USC00142835,"FORT SCOTT, KS US",10/5/2007,0,0,86,51,,
USC00142835,"FORT SCOTT, KS US",10/6/2007,0,0,87,67,,
USC00142835,"FORT SCOTT, KS US",10/7/2007,0,0,84,70,,
USC00142835,"FORT SCOTT, KS US",10/8/2007,0.26,0,80,70,,
USC00142835,"FORT SCOTT, KS US",10/9/2007,0,0,71,68,,
USC00142835,"FORT SCOTT, KS US",10/10/2007,0,0,82,50,,
USC00142835,"FORT SCOTT, KS US",10/11/2007,0,0,70,50,,
USC00142835,"FORT SCOTT, KS US",10/12/2007,0,0,67,43,,
USC00142835,"FORT SCOTT, KS US",10/13/2007,0,0,73,42,,
USC00142835,"FORT SCOTT, KS US",10/14/2007,0,0,73,46,,
USC00142835,"FORT SCOTT, KS US",10/15/2007,0.2,0,78,55,,
USC00142835,"FORT SCOTT, KS US",10/16/2007,0,0,63,55,,
USC00142835,"FORT SCOTT, KS US",10/17/2007,0.17,0,71,46,,
USC00142835,"FORT SCOTT, KS US",10/18/2007,1.65,0,78,47,,
USC00142835,"FORT SCOTT, KS US",10/19/2007,0,0,71,55,,
USC00142835,"FORT SCOTT, KS US",10/20/2007,0,0,68,49,,
USC00142835,"FORT SCOTT, KS US",10/21/2007,0,0,68,49,,
USC00142835,"FORT SCOTT, KS US",10/22/2007,0.43,0,76,49,,
USC00142835,"FORT SCOTT, KS US",10/23/2007,0.4,0,49,38,,
USC00142835,"FORT SCOTT, KS US",10/24/2007,0,0,62,40,,
USC00142835,"FORT SCOTT, KS US",10/25/2007,0,0,60,38,,
USC00142835,"FORT SCOTT, KS US",10/26/2007,0,0,58,37,,
USC00142835,"FORT SCOTT, KS US",10/27/2007,0,0,53,42,,
USC00142835,"FORT SCOTT, KS US",10/28/2007,0,0,65,38,,
USC00142835,"FORT SCOTT, KS US",10/29/2007,0,0,62,36,,
USC00142835,"FORT SCOTT, KS US",10/30/2007,0,0,67,36,,
USC00142835,"FORT SCOTT, KS US",10/31/2007,0,0,69,47,,
USC00142835,"FORT SCOTT, KS US",11/1/2007,0,0,61,32,,
USC00142835,"FORT SCOTT, KS US",11/2/2007,0,0,59,31,,
USC00142835,"FORT SCOTT, KS US",11/3/2007,0,0,65,35,,
USC00142835,"FORT SCOTT, KS US",11/4/2007,0,0,65,36,,
USC00142835,"FORT SCOTT, KS US",11/5/2007,0,0,70,38,,
USC00142835,"FORT SCOTT, KS US",11/6/2007,0,0,62,30,,
USC00142835,"FORT SCOTT, KS US",11/7/2007,0,0,47,26,,
USC00142835,"FORT SCOTT, KS US",11/8/2007,0,0,55,26,,
USC00142835,"FORT SCOTT, KS US",11/9/2007,0,0,65,36,,
USC00142835,"FORT SCOTT, KS US",11/10/2007,0,0,68,36,,
USC00142835,"FORT SCOTT, KS US",11/11/2007,0,0,72,42,,
USC00142835,"FORT SCOTT, KS US",11/12/2007,0,0,73,63,,
USC00142835,"FORT SCOTT, KS US",11/13/2007,0,0,72,50,,
USC00142835,"FORT SCOTT, KS US",11/14/2007,0,0,66,50,,
USC00142835,"FORT SCOTT, KS US",11/15/2007,0,0,59,36,,
USC00142835,"FORT SCOTT, KS US",11/16/2007,0,0,51,33,,
USC00142835,"FORT SCOTT, KS US",11/17/2007,0,0,61,33,,
USC00142835,"FORT SCOTT, KS US",11/18/2007,0,0,70,33,,
USC00142835,"FORT SCOTT, KS US",11/19/2007,0,0,70,36,,
USC00142835,"FORT SCOTT, KS US",11/20/2007,0,0,69,57,,
USC00142835,"FORT SCOTT, KS US",11/21/2007,0,0,75,40,,
USC00142835,"FORT SCOTT, KS US",11/22/2007,0,0,42,16,,
USC00142835,"FORT SCOTT, KS US",11/23/2007,0.17,0,34,15,,
USC00142835,"FORT SCOTT, KS US",11/24/2007,0,0,39,29,,
USC00142835,"FORT SCOTT, KS US",11/25/2007,0.15,0,43,34,,
USC00142835,"FORT SCOTT, KS US",11/26/2007,0,0,50,25,,
USC00142835,"FORT SCOTT, KS US",11/27/2007,0,0,55,25,,
USC00142835,"FORT SCOTT, KS US",11/28/2007,0,0,55,21,,
USC00142835,"FORT SCOTT, KS US",11/29/2007,0,0,50,21,,
USC00142835,"FORT SCOTT, KS US",11/30/2007,0,0,58,43,,
USC00142835,"FORT SCOTT, KS US",12/1/2007,0.03,0,44,24,,
USC00142835,"FORT SCOTT, KS US",12/2/2007,0.28,0,65,43,,
USC00142835,"FORT SCOTT, KS US",12/3/2007,0,0,54,20,,
USC00142835,"FORT SCOTT, KS US",12/4/2007,0,0,45,20,,
USC00142835,"FORT SCOTT, KS US",12/5/2007,0,0,58,34,,
USC00142835,"FORT SCOTT, KS US",12/6/2007,0,0,47,27,,
USC00142835,"FORT SCOTT, KS US",12/7/2007,0.18,0,33,30,,
USC00142835,"FORT SCOTT, KS US",12/8/2007,0.02,0,36,28,,
USC00142835,"FORT SCOTT, KS US",12/9/2007,0.3,0,34,22,,
USC00142835,"FORT SCOTT, KS US",12/10/2007,0.04,,24,21,,
USC00142835,"FORT SCOTT, KS US",12/11/2007,0.35,0,32,22,,
USC00142835,"FORT SCOTT, KS US",12/12/2007,0.55,0,34,29,,
USC00142835,"FORT SCOTT, KS US",12/13/2007,0,0,30,28,,
USC00142835,"FORT SCOTT, KS US",12/14/2007,0,0,39,22,,
USC00142835,"FORT SCOTT, KS US",12/15/2007,0.14,0,39,21,,
USC00142835,"FORT SCOTT, KS US",12/16/2007,0.29,,26,13,,
USC00142835,"FORT SCOTT, KS US",12/17/2007,0,0,31,12,,
